date_id,grid_id,year,month,pr
"[1, 2015, 01]",1,2015,1.0,
"[2, 2015, 01]",2,2015,1.0,
"[3, 2015, 01]",3,2015,1.0,
"[4, 2015, 01]",4,2015,1.0,
"[5, 2015, 01]",5,2015,1.0,
"[6, 2015, 01]",6,2015,1.0,
"[7, 2015, 01]",7,2015,1.0,
"[8, 2015, 01]",8,2015,1.0,
"[9, 2015, 01]",9,2015,1.0,
"[10, 2015, 01]",10,2015,1.0,
"[11, 2015, 01]",11,2015,1.0,
"[12, 2015, 01]",12,2015,1.0,
"[13, 2015, 01]",13,2015,1.0,
"[14, 2015, 01]",14,2015,1.0,
"[15, 2015, 01]",15,2015,1.0,
"[16, 2015, 01]",16,2015,1.0,
"[17, 2015, 01]",17,2015,1.0,
"[18, 2015, 01]",18,2015,1.0,
"[19, 2015, 01]",19,2015,1.0,
"[20, 2015, 01]",20,2015,1.0,
"[21, 2015, 01]",21,2015,1.0,
"[22, 2015, 01]",22,2015,1.0,
"[23, 2015, 01]",23,2015,1.0,
"[24, 2015, 01]",24,2015,1.0,
"[25, 2015, 01]",25,2015,1.0,
"[26, 2015, 01]",26,2015,1.0,
"[27, 2015, 01]",27,2015,1.0,
"[28, 2015, 01]",28,2015,1.0,
"[29, 2015, 01]",29,2015,1.0,
"[30, 2015, 01]",30,2015,1.0,
"[31, 2015, 01]",31,2015,1.0,
"[32, 2015, 01]",32,2015,1.0,
"[33, 2015, 01]",33,2015,1.0,
"[34, 2015, 01]",34,2015,1.0,
"[35, 2015, 01]",35,2015,1.0,
"[36, 2015, 01]",36,2015,1.0,
"[37, 2015, 01]",37,2015,1.0,
"[38, 2015, 01]",38,2015,1.0,
"[39, 2015, 01]",39,2015,1.0,
"[40, 2015, 01]",40,2015,1.0,
"[41, 2015, 01]",41,2015,1.0,
"[42, 2015, 01]",42,2015,1.0,
"[43, 2015, 01]",43,2015,1.0,
"[44, 2015, 01]",44,2015,1.0,
"[45, 2015, 01]",45,2015,1.0,
"[46, 2015, 01]",46,2015,1.0,
"[47, 2015, 01]",47,2015,1.0,
"[48, 2015, 01]",48,2015,1.0,
"[49, 2015, 01]",49,2015,1.0,
"[50, 2015, 01]",50,2015,1.0,
"[51, 2015, 01]",51,2015,1.0,
"[52, 2015, 01]",52,2015,1.0,
"[53, 2015, 01]",53,2015,1.0,
