date_id,grid_id,year,month,tmax,tmin,tavg
"[1, 1996, 01]",1,1996,1.0,31.363094638523943,23.07078659402045,27.216940616272147
"[2, 1996, 01]",2,1996,1.0,32.080122566267875,23.789405934787716,27.934764250527827
"[3, 1996, 01]",3,1996,1.0,32.46561128526644,23.505479623824478,27.98554545454547
"[4, 1996, 01]",4,1996,1.0,36.92241980329499,26.033248952151705,31.477834377723394
"[5, 1996, 01]",5,1996,1.0,33.12609652732055,24.578431533903867,28.85226403061226
"[6, 1996, 01]",6,1996,1.0,32.96490504425543,24.553269743060923,28.759087393658184
"[7, 1996, 01]",7,1996,1.0,31.925552960571522,22.598273572377146,27.261913266474338
"[8, 1996, 01]",8,1996,1.0,32.16442759741056,23.84059861668354,28.00251310704699
"[9, 1996, 01]",9,1996,1.0,31.854004346212967,24.017103938092987,27.935554142152938
"[10, 1996, 01]",10,1996,1.0,32.36458245908524,23.963453248388255,28.16401785373673
"[11, 1996, 01]",11,1996,1.0,32.28865996762882,21.012874291880195,26.650767129754495
"[12, 1996, 01]",12,1996,1.0,32.38624464338751,21.39153973439687,26.888892188892196
"[13, 1996, 01]",13,1996,1.0,31.947222516135863,24.283898529256163,28.115560522696004
"[14, 1996, 01]",14,1996,1.0,31.965922956248896,24.244889895996728,28.10540642612283
"[15, 1996, 01]",15,1996,1.0,31.82503743427242,24.283013545983213,28.054025490127806
"[16, 1996, 01]",16,1996,1.0,32.045638045932684,23.2029024618604,27.62427025389658
"[17, 1996, 01]",17,1996,1.0,32.01195844065638,23.022345382455956,27.517151911556148
"[18, 1996, 01]",18,1996,1.0,32.00461092198293,23.054259412203127,27.529435167093055
"[19, 1996, 01]",19,1996,1.0,31.86265328874024,22.849526198439243,27.35608974358975
"[20, 1996, 01]",20,1996,1.0,31.761257659154644,22.71668916813788,27.23897341364628
"[21, 1996, 01]",21,1996,1.0,31.848731341742905,22.716086875735453,27.28240910873919
"[22, 1996, 01]",22,1996,1.0,30.108238127786965,23.38539530644794,26.746816717117497
"[23, 1996, 01]",23,1996,1.0,29.83014590865966,23.662497115162726,26.74632151191117
"[24, 1996, 01]",24,1996,1.0,31.660679561969086,23.903778528298027,27.78222904513352
"[25, 1996, 01]",25,1996,1.0,31.083638211382112,22.678373983739817,26.881006097560977
"[26, 1996, 01]",26,1996,1.0,29.131931372779107,19.755678644354198,24.44380500856665
"[27, 1996, 01]",27,1996,1.0,30.693389808753654,23.13594104308388,26.914665425918788
"[28, 1996, 01]",28,1996,1.0,31.467405024634505,23.381438576489252,27.424421800561884
"[29, 1996, 01]",29,1996,1.0,31.671590140164373,23.781846302561625,27.726718221362937
"[30, 1996, 01]",30,1996,1.0,29.61198892843021,23.158410438908646,26.385199683669445
"[31, 1996, 01]",31,1996,1.0,30.850058027079303,23.44092069632495,27.145489361702143
"[32, 1996, 01]",32,1996,1.0,31.28024097411446,22.795027247956426,27.037634111035434
"[33, 1996, 01]",33,1996,1.0,31.657221361994075,24.015496250417463,27.836358806205805
"[34, 1996, 01]",34,1996,1.0,30.486871057949415,22.983946030903635,26.735408544426537
"[35, 1996, 01]",35,1996,1.0,29.83998791419074,20.82396011682952,25.331974015510134
"[36, 1996, 01]",36,1996,1.0,29.917579829604453,22.93903858142276,26.428309205513596
"[37, 1996, 01]",37,1996,1.0,31.44754135002231,24.468706059251414,27.958123704636886
"[38, 1996, 01]",38,1996,1.0,31.68505061914321,23.409458668005406,27.547254643574327
"[39, 1996, 01]",39,1996,1.0,29.99926312284987,23.681105315725265,26.84018421928757
"[40, 1996, 01]",40,1996,1.0,29.695055115504754,22.567840671726735,26.131447893615753
"[41, 1996, 01]",41,1996,1.0,31.443324904363653,24.726700382545562,28.085012643454554
"[42, 1996, 01]",42,1996,1.0,31.608013535337943,23.470368376528494,27.539190955933236
"[43, 1996, 01]",43,1996,1.0,30.16524961399896,23.324150283067475,26.74469994853325
"[44, 1996, 01]",44,1996,1.0,30.285275496453043,23.369422054972176,26.82734877571259
"[45, 1996, 01]",45,1996,1.0,31.14884566831417,24.845554913665836,27.997200290990037
"[46, 1996, 01]",46,1996,1.0,30.26371390094269,23.556247194373793,26.909980547658236
"[47, 1996, 01]",47,1996,1.0,30.362801754170235,22.92114225992869,26.641972007049436
"[48, 1996, 01]",48,1996,1.0,30.268248490077696,23.28153580672997,26.7748921484038
"[49, 1996, 01]",49,1996,1.0,29.248158657701566,23.39441737092097,26.32128801431127
"[50, 1996, 01]",50,1996,1.0,30.494018170369735,22.62152784024469,26.557773005307176
"[51, 1996, 01]",51,1996,1.0,30.66397434473561,22.459803976010644,26.561889160373166
"[52, 1996, 01]",52,1996,1.0,30.259837102964024,22.878623336327315,26.569230219645636
"[53, 1996, 01]",53,1996,1.0,30.302817447997562,23.023381713753523,26.663099580875546
"[54, 1996, 01]",54,1996,1.0,30.57551191342107,24.344724371266718,27.46011814234384
