date_id,grid_id,year,month,vpd
"[1, 2009, 01]",1,2009,1.0,
"[2, 2009, 01]",2,2009,1.0,
"[3, 2009, 01]",3,2009,1.0,
"[4, 2009, 01]",4,2009,1.0,
"[5, 2009, 01]",5,2009,1.0,
"[6, 2009, 01]",6,2009,1.0,
"[7, 2009, 01]",7,2009,1.0,
"[8, 2009, 01]",8,2009,1.0,
"[9, 2009, 01]",9,2009,1.0,
"[10, 2009, 01]",10,2009,1.0,
"[11, 2009, 01]",11,2009,1.0,
"[12, 2009, 01]",12,2009,1.0,
"[13, 2009, 01]",13,2009,1.0,
"[14, 2009, 01]",14,2009,1.0,
"[15, 2009, 01]",15,2009,1.0,
"[16, 2009, 01]",16,2009,1.0,
"[17, 2009, 01]",17,2009,1.0,
"[18, 2009, 01]",18,2009,1.0,
"[19, 2009, 01]",19,2009,1.0,
"[20, 2009, 01]",20,2009,1.0,
"[21, 2009, 01]",21,2009,1.0,
"[22, 2009, 01]",22,2009,1.0,
"[23, 2009, 01]",23,2009,1.0,
"[24, 2009, 01]",24,2009,1.0,
"[25, 2009, 01]",25,2009,1.0,
"[26, 2009, 01]",26,2009,1.0,
"[27, 2009, 01]",27,2009,1.0,
"[28, 2009, 01]",28,2009,1.0,
"[29, 2009, 01]",29,2009,1.0,
"[30, 2009, 01]",30,2009,1.0,
"[31, 2009, 01]",31,2009,1.0,
"[32, 2009, 01]",32,2009,1.0,
"[33, 2009, 01]",33,2009,1.0,
"[34, 2009, 01]",34,2009,1.0,
"[35, 2009, 01]",35,2009,1.0,
"[36, 2009, 01]",36,2009,1.0,
"[37, 2009, 01]",37,2009,1.0,
"[38, 2009, 01]",38,2009,1.0,
"[39, 2009, 01]",39,2009,1.0,
"[40, 2009, 01]",40,2009,1.0,
"[41, 2009, 01]",41,2009,1.0,
"[42, 2009, 01]",42,2009,1.0,
"[43, 2009, 01]",43,2009,1.0,
"[44, 2009, 01]",44,2009,1.0,
"[45, 2009, 01]",45,2009,1.0,
"[46, 2009, 01]",46,2009,1.0,
"[47, 2009, 01]",47,2009,1.0,
"[48, 2009, 01]",48,2009,1.0,
"[49, 2009, 01]",49,2009,1.0,
"[50, 2009, 01]",50,2009,1.0,
"[51, 2009, 01]",51,2009,1.0,
"[52, 2009, 01]",52,2009,1.0,
"[53, 2009, 01]",53,2009,1.0,
"[54, 2009, 01]",54,2009,1.0,
"[55, 2009, 01]",55,2009,1.0,
"[56, 2009, 01]",56,2009,1.0,
"[57, 2009, 01]",57,2009,1.0,
"[58, 2009, 01]",58,2009,1.0,
"[59, 2009, 01]",59,2009,1.0,
"[60, 2009, 01]",60,2009,1.0,
"[61, 2009, 01]",61,2009,1.0,
"[62, 2009, 01]",62,2009,1.0,
"[63, 2009, 01]",63,2009,1.0,
"[64, 2009, 01]",64,2009,1.0,
"[65, 2009, 01]",65,2009,1.0,
"[66, 2009, 01]",66,2009,1.0,
"[67, 2009, 01]",67,2009,1.0,
"[68, 2009, 01]",68,2009,1.0,
"[69, 2009, 01]",69,2009,1.0,
"[70, 2009, 01]",70,2009,1.0,
"[71, 2009, 01]",71,2009,1.0,
"[72, 2009, 01]",72,2009,1.0,
"[73, 2009, 01]",73,2009,1.0,
"[74, 2009, 01]",74,2009,1.0,
"[75, 2009, 01]",75,2009,1.0,
"[76, 2009, 01]",76,2009,1.0,
"[77, 2009, 01]",77,2009,1.0,
"[78, 2009, 01]",78,2009,1.0,
"[79, 2009, 01]",79,2009,1.0,
"[80, 2009, 01]",80,2009,1.0,
"[81, 2009, 01]",81,2009,1.0,
"[82, 2009, 01]",82,2009,1.0,
"[83, 2009, 01]",83,2009,1.0,
"[84, 2009, 01]",84,2009,1.0,
"[85, 2009, 01]",85,2009,1.0,
"[86, 2009, 01]",86,2009,1.0,
"[87, 2009, 01]",87,2009,1.0,
"[88, 2009, 01]",88,2009,1.0,
"[89, 2009, 01]",89,2009,1.0,
"[90, 2009, 01]",90,2009,1.0,
"[91, 2009, 01]",91,2009,1.0,
"[92, 2009, 01]",92,2009,1.0,
"[93, 2009, 01]",93,2009,1.0,
"[94, 2009, 01]",94,2009,1.0,
"[95, 2009, 01]",95,2009,1.0,
"[96, 2009, 01]",96,2009,1.0,
"[97, 2009, 01]",97,2009,1.0,
"[98, 2009, 01]",98,2009,1.0,
"[99, 2009, 01]",99,2009,1.0,
"[100, 2009, 01]",100,2009,1.0,
"[101, 2009, 01]",101,2009,1.0,
"[102, 2009, 01]",102,2009,1.0,
"[103, 2009, 01]",103,2009,1.0,
"[104, 2009, 01]",104,2009,1.0,
"[105, 2009, 01]",105,2009,1.0,
"[106, 2009, 01]",106,2009,1.0,
"[107, 2009, 01]",107,2009,1.0,
"[108, 2009, 01]",108,2009,1.0,
"[109, 2009, 01]",109,2009,1.0,
"[110, 2009, 01]",110,2009,1.0,
"[111, 2009, 01]",111,2009,1.0,
"[112, 2009, 01]",112,2009,1.0,
"[113, 2009, 01]",113,2009,1.0,
"[114, 2009, 01]",114,2009,1.0,
"[115, 2009, 01]",115,2009,1.0,
"[116, 2009, 01]",116,2009,1.0,
"[117, 2009, 01]",117,2009,1.0,
"[118, 2009, 01]",118,2009,1.0,
"[119, 2009, 01]",119,2009,1.0,
"[120, 2009, 01]",120,2009,1.0,
"[121, 2009, 01]",121,2009,1.0,
"[122, 2009, 01]",122,2009,1.0,
"[123, 2009, 01]",123,2009,1.0,
"[124, 2009, 01]",124,2009,1.0,
"[125, 2009, 01]",125,2009,1.0,
"[126, 2009, 01]",126,2009,1.0,
"[127, 2009, 01]",127,2009,1.0,
"[128, 2009, 01]",128,2009,1.0,
"[129, 2009, 01]",129,2009,1.0,
"[130, 2009, 01]",130,2009,1.0,
"[131, 2009, 01]",131,2009,1.0,
"[132, 2009, 01]",132,2009,1.0,
"[133, 2009, 01]",133,2009,1.0,
"[134, 2009, 01]",134,2009,1.0,
"[135, 2009, 01]",135,2009,1.0,
"[136, 2009, 01]",136,2009,1.0,
"[137, 2009, 01]",137,2009,1.0,
"[138, 2009, 01]",138,2009,1.0,
"[139, 2009, 01]",139,2009,1.0,
"[140, 2009, 01]",140,2009,1.0,
"[141, 2009, 01]",141,2009,1.0,
"[142, 2009, 01]",142,2009,1.0,
"[143, 2009, 01]",143,2009,1.0,
"[1, 2009, 02]",1,2009,2.0,
"[2, 2009, 02]",2,2009,2.0,
"[3, 2009, 02]",3,2009,2.0,
"[4, 2009, 02]",4,2009,2.0,
"[5, 2009, 02]",5,2009,2.0,
"[6, 2009, 02]",6,2009,2.0,
"[7, 2009, 02]",7,2009,2.0,
"[8, 2009, 02]",8,2009,2.0,
"[9, 2009, 02]",9,2009,2.0,
"[10, 2009, 02]",10,2009,2.0,
"[11, 2009, 02]",11,2009,2.0,
"[12, 2009, 02]",12,2009,2.0,
"[13, 2009, 02]",13,2009,2.0,
"[14, 2009, 02]",14,2009,2.0,
"[15, 2009, 02]",15,2009,2.0,
